Sample	bp_processed	r_with_adapters	quality_trimmed	r_processed	percent_trimmed	bp_written
SLX-11165.HFMVTBBXX.s_1.r_1.lostreads	1010578800	7925979	17455614	20211576	2.81196063088	982161722
SLX-11165.HFMVTBBXX.s_2.r_1.lostreads	964835550	7449975	16065620	19296711	2.71815647755	938609810
SLX-11165.HFN3MBBXX.s_5.r_1.lostreads	1022074200	8075212	15734943	20441484	2.63420082417	995150713
SLX-11165.HFN3MBBXX.s_6.r_1.lostreads	1067696000	8281166	16387348	21353920	2.62257702567	1039694850
SLX-11165.HFN3MBBXX.s_7.r_1.lostreads	987900150	7768408	16941213	19758003	2.79259123506	960312137
SLX-11165.ORDRA05.HFMVTBBXX.s_1.r_1	144967100	994242	197240	2899342	1.24021519365	143169196
SLX-11165.ORDRA05.HFMVTBBXX.s_2.r_1	147181300	1010769	176196	2943626	1.21661175706	145390675
SLX-11165.ORDRA05.HFN3MBBXX.s_5.r_1	160397250	1100761	224025	3207945	1.23058655931	158423423
SLX-11165.ORDRA05.HFN3MBBXX.s_6.r_1	165255000	1134697	214089	3305100	1.21680554295	163244168
SLX-11165.ORDRA05.HFN3MBBXX.s_7.r_1	160207650	1099191	208619	3204153	1.22011339658	158252935
SLX-11165.ORDRA06.HFMVTBBXX.s_1.r_1	111571950	722964	134087	2231439	1.26524543131	110160291
SLX-11165.ORDRA06.HFMVTBBXX.s_2.r_1	113466950	734902	122150	2269339	1.24427156983	112055113
SLX-11165.ORDRA06.HFN3MBBXX.s_5.r_1	121764000	791116	143625	2435280	1.24985874314	120242122
SLX-11165.ORDRA06.HFN3MBBXX.s_6.r_1	125061850	814038	134746	2501237	1.23758844124	123514099
SLX-11165.ORDRA06.HFN3MBBXX.s_7.r_1	121493250	788856	136708	2429865	1.24311597558	119982948
SLX-11165.ORDRA07.HFMVTBBXX.s_1.r_1	198521650	1350324	229948	3970433	1.35445579865	195832762
SLX-11165.ORDRA07.HFMVTBBXX.s_2.r_1	202549100	1379123	200753	4050982	1.33447445582	199846134
SLX-11165.ORDRA07.HFN3MBBXX.s_5.r_1	216836300	1475912	244580	4336726	1.33460495314	213942392
SLX-11165.ORDRA07.HFN3MBBXX.s_6.r_1	224026250	1526021	228171	4480525	1.31796831844	221073655
SLX-11165.ORDRA07.HFN3MBBXX.s_7.r_1	216818750	1476570	227274	4336375	1.32444218962	213947111
SLX-11165.ORDRA10.HFMVTBBXX.s_1.r_1	192666400	1415317	273572	3853328	1.28233516586	190195771
SLX-11165.ORDRA10.HFMVTBBXX.s_2.r_1	195619300	1438960	235518	3912386	1.25244390507	193169278
SLX-11165.ORDRA10.HFN3MBBXX.s_5.r_1	215385050	1583594	303625	4307701	1.26905651065	212651692
SLX-11165.ORDRA10.HFN3MBBXX.s_6.r_1	221898550	1632610	288469	4437971	1.24857958738	219127970
SLX-11165.ORDRA10.HFN3MBBXX.s_7.r_1	214752850	1578654	285519	4295057	1.25885593602	212049421
SLX-11165.ORDRA11.HFMVTBBXX.s_1.r_1	138981000	965330	166976	2779620	1.2886516862	137190019
SLX-11165.ORDRA11.HFMVTBBXX.s_2.r_1	141572750	983183	149518	2831455	1.26653893493	139779676
SLX-11165.ORDRA11.HFN3MBBXX.s_5.r_1	153148500	1066126	177740	3062970	1.27228147843	151200020
SLX-11165.ORDRA11.HFN3MBBXX.s_6.r_1	158090550	1099991	168586	3161811	1.25700113005	156103350
SLX-11165.ORDRA11.HFN3MBBXX.s_7.r_1	153141750	1065042	170376	3062835	1.26571950497	151203405
SLX-11165.ORDRA12.HFMVTBBXX.s_1.r_1	94836600	675948	117144	1896732	1.33976439476	93566013
SLX-11165.ORDRA12.HFMVTBBXX.s_2.r_1	97169050	691415	105668	1943381	1.31977620446	95886636
SLX-11165.ORDRA12.HFN3MBBXX.s_5.r_1	104343350	742645	120105	2086867	1.31228775001	102974065
SLX-11165.ORDRA12.HFN3MBBXX.s_6.r_1	106790100	761323	112035	2135802	1.30111218175	105400641
SLX-11165.ORDRA12.HFN3MBBXX.s_7.r_1	104004250	740756	119017	2080085	1.31537413135	102636205
SLX-11165.ORDRB05.HFMVTBBXX.s_1.r_1	121242950	836100	152396	2424859	1.25932105743	119716112
SLX-11165.ORDRB05.HFMVTBBXX.s_2.r_1	123799650	852924	138590	2475993	1.23891384184	122265879
SLX-11165.ORDRB05.HFN3MBBXX.s_5.r_1	131713300	908965	160399	2634266	1.24308630943	130075990
SLX-11165.ORDRB05.HFN3MBBXX.s_6.r_1	135885300	940279	153718	2717706	1.23166523531	134211648
SLX-11165.ORDRB05.HFN3MBBXX.s_7.r_1	132399700	915148	148995	2647994	1.23735250155	130761449
SLX-11165.ORDRB06.HFMVTBBXX.s_1.r_1	67417150	448145	78421	1348343	1.21204470969	66600024
