Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
SLX-11165.ORDRG11.HFN3MBBXX.s_7.r_1_trimmed_GRCm38	84.22	87494.0	584.0	1.29	1.38	2.1	48.85	0.0	0.28	49.0	80.0	0.0	86278.0	2285946.0	15649.0	0	0.0	2714415.0	31479	0.0	1.16	11.95	324354.0	552.0	56987	0.58
SLX-11165.ORDRG12.HFMVTBBXX.s_1.r_1_trimmed_GRCm38	83.22	112183.0	784.0	1.37	1.23	2.39	48.77	0.0	0.32	49.0	80.0	0.0	110502.0	2926236.0	23911.0	0	0.0	3516214.0	37541	0.0	1.07	12.65	444672.0	817.0	83854	0.68
SLX-11165.ORDRG12.HFMVTBBXX.s_2.r_1_trimmed_GRCm38	83.39	113267.0	886.0	1.39	1.21	2.33	48.79	0.0	0.31	49.0	87.0	0.0	111497.0	2960361.0	23535.0	0	0.0	3550186.0	35821	0.0	1.01	12.61	447834.0	797.0	82635	0.66
SLX-11165.ORDRG12.HFN3MBBXX.s_5.r_1_trimmed_GRCm38	83.48	122509.0	932.0	1.38	1.26	2.29	48.79	0.0	0.31	49.0	83.0	0.0	120685.0	3230830.0	25783.0	0	0.0	3870176.0	43002	0.0	1.11	12.45	481844.0	809.0	88717	0.67
SLX-11165.ORDRG12.HFN3MBBXX.s_6.r_1_trimmed_GRCm38	83.59	125447.0	945.0	1.39	1.25	2.26	48.79	0.0	0.31	49.0	77.0	0.0	123566.0	3336150.0	26502.0	0	0.0	3991134.0	43139	0.0	1.08	12.4	495071.0	859.0	90272	0.66
SLX-11165.ORDRG12.HFN3MBBXX.s_7.r_1_trimmed_GRCm38	83.46	122511.0	894.0	1.4	1.25	2.3	48.79	0.0	0.3	49.0	98.0	0.0	120633.0	3224663.0	26126.0	0	0.0	3863633.0	43289	0.0	1.12	12.44	480658.0	886.0	88897	0.68
SLX-11165.ORDRH04.HFMVTBBXX.s_1.r_1_trimmed_GRCm38	75.5	71213.0	498.0	1.3	1.96	3.56	48.56	0.01	0.47	49.0	83.0	0.0	69795.0	2161539.0	19326.0	0	0.0	2862932.0	23759	0.01	0.83	19.43	556404.0	837.0	101904	0.68
SLX-11165.ORDRH04.HFMVTBBXX.s_2.r_1_trimmed_GRCm38	75.56	72994.0	555.0	1.31	1.92	3.54	48.57	0.01	0.46	49.0	58.0	0.0	71510.0	2204094.0	19472.0	0	0.0	2917020.0	23652	0.01	0.81	19.42	566433.0	871.0	103369	0.67
SLX-11165.ORDRH04.HFN3MBBXX.s_5.r_1_trimmed_GRCm38	75.79	77317.0	561.0	1.29	1.92	3.46	48.58	0.01	0.46	49.0	59.0	0.0	75855.0	2357465.0	20799.0	0	0.0	3110644.0	26754	0.01	0.86	19.22	597989.0	842.0	107637	0.67
SLX-11165.ORDRH04.HFN3MBBXX.s_6.r_1_trimmed_GRCm38	75.87	78959.0	613.0	1.3	1.9	3.41	48.58	0.01	0.46	49.0	63.0	0.0	77374.0	2425334.0	21285.0	0	0.0	3196852.0	26829	0.01	0.84	19.22	614489.0	909.0	108915	0.67
