Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
SLX-11165.ORDRG04.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	warn	49.3782686525	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3633378.0	pass	fail	warn	45.0	52.8858578138	SLX-11165.ORDRG04.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG04.HFN3MBBXX.s_5.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3898126.0	pass	pass	warn	45.0	52.9079503364	SLX-11165.ORDRG04.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRG04.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	warn	49.3674274076	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3896552.0	pass	fail	warn	45.0	53.0884531812	SLX-11165.ORDRG04.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG04.HFN3MBBXX.s_6.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	4022191.0	pass	pass	warn	45.0	52.6031559318	SLX-11165.ORDRG04.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRG04.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	warn	49.3755941746	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	4020704.0	pass	fail	warn	45.0	52.7865169453	SLX-11165.ORDRG04.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG04.HFN3MBBXX.s_7.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3901221.0	pass	pass	warn	45.0	52.7067901894	SLX-11165.ORDRG04.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRG04.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	warn	49.3732881191	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3899658.0	pass	fail	warn	45.0	52.8984379952	SLX-11165.ORDRG04.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG05.HFMVTBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	1490403.0	pass	pass	warn	45.0	57.5154541652	SLX-11165.ORDRG05.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRG05.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.309897534	Sanger / Illumina 1.9	warn	pass	warn	20-50	Conventional base calls	pass	pass	1489957.0	pass	fail	warn	45.0	57.7039365174	SLX-11165.ORDRG05.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRG05.HFMVTBBXX.s_2.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	1521903.0	pass	pass	warn	45.0	57.2068975707	SLX-11165.ORDRG05.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
