Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
SLX-11165.ORDRG10.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.4049330166	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	2830925.0	pass	fail	warn	47.0	56.9339380123	SLX-11165.ORDRG10.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRG10.HFMVTBBXX.s_2.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	2877803.0	pass	pass	warn	47.0	56.2912321098	SLX-11165.ORDRG10.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRG10.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	warn	49.4128318686	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	2877118.0	pass	fail	warn	47.0	56.5336896865	SLX-11165.ORDRG10.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG10.HFN3MBBXX.s_5.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3139089.0	pass	pass	warn	47.0	56.1603699643	SLX-11165.ORDRG10.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRG10.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	warn	49.4097512634	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	3138260.0	pass	fail	warn	47.0	56.3678211154	SLX-11165.ORDRG10.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG10.HFN3MBBXX.s_6.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3240929.0	pass	pass	warn	47.0	56.136917468	SLX-11165.ORDRG10.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRG10.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	warn	49.4149387621	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	3240148.0	pass	fail	warn	47.0	56.3356805362	SLX-11165.ORDRG10.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG10.HFN3MBBXX.s_7.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3131484.0	pass	pass	warn	47.0	55.8919979974	SLX-11165.ORDRG10.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRG10.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	warn	49.4119321739	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	3130712.0	pass	fail	warn	47.0	56.0983941041	SLX-11165.ORDRG10.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG11.HFMVTBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	2482242.0	pass	pass	warn	47.0	58.7379286771	SLX-11165.ORDRG11.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRG11.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.4056833509	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	2481529.0	pass	fail	warn	47.0	58.8988373777	SLX-11165.ORDRG11.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRG11.HFMVTBBXX.s_2.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	2526185.0	pass	pass	warn	47.0	58.6228577292	SLX-11165.ORDRG11.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRG11.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	warn	49.4208565312	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	2525559.0	pass	fail	warn	47.0	58.8346484964	SLX-11165.ORDRG11.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG11.HFN3MBBXX.s_5.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	2715041.0	pass	pass	warn	46.0	58.7005000147	SLX-11165.ORDRG11.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRG11.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	warn	49.4102408045	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	2714318.0	pass	fail	warn	46.0	58.871595005	SLX-11165.ORDRG11.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG11.HFN3MBBXX.s_6.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	2792520.0	pass	pass	warn	46.0	58.5426346113	SLX-11165.ORDRG11.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRG11.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	warn	49.4177260122	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	2791818.0	pass	fail	warn	46.0	58.6882880048	SLX-11165.ORDRG11.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG11.HFN3MBBXX.s_7.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	2715122.0	pass	pass	warn	46.0	58.5614839843	SLX-11165.ORDRG11.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRG11.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	warn	49.4138438669	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	2714415.0	pass	fail	warn	47.0	58.7336549456	SLX-11165.ORDRG11.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG12.HFMVTBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3517495.0	pass	pass	warn	46.0	55.6338229235	SLX-11165.ORDRG12.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRG12.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.3584511637	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3516214.0	pass	fail	warn	47.0	55.7978597802	SLX-11165.ORDRG12.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRG12.HFMVTBBXX.s_2.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3551251.0	pass	pass	warn	47.0	55.1696674094	SLX-11165.ORDRG12.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRG12.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	warn	49.3714244831	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3550186.0	pass	fail	warn	47.0	55.3729988171	SLX-11165.ORDRG12.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG12.HFN3MBBXX.s_5.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3871444.0	pass	pass	warn	46.0	54.771192056	SLX-11165.ORDRG12.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRG12.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	warn	49.3652061302	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3870176.0	pass	fail	warn	46.0	54.9689388241	SLX-11165.ORDRG12.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG12.HFN3MBBXX.s_6.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3992427.0	pass	pass	warn	46.0	55.0149024912	SLX-11165.ORDRG12.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRG12.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	warn	49.3705272737	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3991134.0	pass	fail	warn	46.0	55.1936505735	SLX-11165.ORDRG12.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG12.HFN3MBBXX.s_7.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3864835.0	pass	pass	warn	46.0	54.8122308564	SLX-11165.ORDRG12.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRG12.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	warn	49.3672214726	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3863633.0	pass	fail	warn	46.0	54.9873761363	SLX-11165.ORDRG12.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH04.HFMVTBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	2863934.0	pass	pass	warn	49.0	52.5918718883	SLX-11165.ORDRH04.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRH04.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.3562788079	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	2862932.0	pass	fail	warn	49.0	52.7628760533	SLX-11165.ORDRH04.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRH04.HFMVTBBXX.s_2.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	2917907.0	pass	pass	warn	49.0	52.1520313624	SLX-11165.ORDRH04.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRH04.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	warn	49.3641078909	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	2917020.0	pass	fail	warn	49.0	52.3485370895	SLX-11165.ORDRH04.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH04.HFN3MBBXX.s_5.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3111663.0	pass	pass	warn	49.0	52.5945783048	SLX-11165.ORDRH04.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRH04.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	warn	49.3661981249	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3110644.0	pass	fail	warn	49.0	52.7539515333	SLX-11165.ORDRH04.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH04.HFN3MBBXX.s_6.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3197839.0	pass	pass	warn	49.0	52.5704478541	SLX-11165.ORDRH04.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRH04.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	warn	49.3725255345	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3196852.0	pass	fail	warn	49.0	52.7324676878	SLX-11165.ORDRH04.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH04.HFN3MBBXX.s_7.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3112615.0	pass	pass	warn	49.0	52.4392893737	SLX-11165.ORDRH04.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRH04.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	warn	49.3683153209	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3111649.0	pass	fail	warn	49.0	52.6051844262	SLX-11165.ORDRH04.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH05.HFMVTBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	1731426.0	pass	pass	warn	43.0	52.7876251812	SLX-11165.ORDRH05.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRH05.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.3271757384	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	1731033.0	pass	fail	warn	44.0	52.956482334	SLX-11165.ORDRH05.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRH05.HFMVTBBXX.s_2.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	1761917.0	pass	pass	warn	43.0	52.3725069966	SLX-11165.ORDRH05.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRH05.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	warn	49.3366595348	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	1761569.0	pass	fail	warn	44.0	52.5732524122	SLX-11165.ORDRH05.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH05.HFN3MBBXX.s_5.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	1917225.0	pass	pass	warn	43.0	52.3957854045	SLX-11165.ORDRH05.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRH05.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	warn	49.3377976602	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	1916825.0	pass	fail	warn	43.0	52.5543706297	SLX-11165.ORDRH05.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH05.HFN3MBBXX.s_6.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	1971998.0	pass	pass	warn	43.0	52.4242473927	SLX-11165.ORDRH05.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRH05.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	warn	49.3452672657	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	1971577.0	pass	fail	warn	43.0	52.6090131265	SLX-11165.ORDRH05.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH05.HFN3MBBXX.s_7.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	1902226.0	pass	pass	warn	43.0	52.3243137132	SLX-11165.ORDRH05.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRH05.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	warn	49.3406366845	Sanger / Illumina 1.9	warn	pass	warn	20-50	Conventional base calls	pass	pass	1901821.0	pass	fail	warn	43.0	52.4883362646	SLX-11165.ORDRH05.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH06.HFMVTBBXX.s_1.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	2047303.0	pass	pass	warn	41.0	42.1838143899	SLX-11165.ORDRH06.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRH06.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	fail	49.2987068888	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	2046769.0	pass	fail	warn	42.0	42.3769681193	SLX-11165.ORDRH06.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRH06.HFMVTBBXX.s_2.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	2100330.0	pass	pass	warn	41.0	41.6853168746	SLX-11165.ORDRH06.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRH06.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	fail	49.3047429691	Sanger / Illumina 1.9	warn	pass	warn	20-50	Conventional base calls	pass	warn	2099845.0	pass	fail	warn	42.0	41.8969871677	SLX-11165.ORDRH06.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH06.HFN3MBBXX.s_5.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	2228155.0	pass	pass	warn	41.0	41.6764152062	SLX-11165.ORDRH06.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRH06.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	fail	49.3087717125	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	2227581.0	pass	fail	warn	42.0	41.8833601504	SLX-11165.ORDRH06.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH06.HFN3MBBXX.s_6.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	2305211.0	pass	pass	warn	41.0	41.5845520426	SLX-11165.ORDRH06.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRH06.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	fail	49.3160096448	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	2304667.0	pass	fail	warn	41.0	41.7809831396	SLX-11165.ORDRH06.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH06.HFN3MBBXX.s_7.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	2239620.0	pass	pass	warn	41.0	41.3792187544	SLX-11165.ORDRH06.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRH06.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	fail	49.3089802131	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	2239056.0	pass	fail	warn	42.0	41.5728084009	SLX-11165.ORDRH06.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH07.HFMVTBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3054543.0	pass	pass	warn	47.0	53.3870717397	SLX-11165.ORDRH07.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRH07.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.3553241908	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3053572.0	pass	fail	warn	47.0	53.4350626998	SLX-11165.ORDRH07.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRH07.HFMVTBBXX.s_2.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3103746.0	pass	pass	warn	47.0	53.1474912811	SLX-11165.ORDRH07.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRH07.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	warn	49.3731812327	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3102857.0	pass	fail	warn	47.0	53.2519161058	SLX-11165.ORDRH07.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH07.HFN3MBBXX.s_5.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3372831.0	pass	pass	warn	47.0	53.3196735973	SLX-11165.ORDRH07.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRH07.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	warn	49.3654543567	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3371800.0	pass	fail	warn	47.0	53.388349499	SLX-11165.ORDRH07.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH07.HFN3MBBXX.s_6.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3450116.0	pass	pass	warn	47.0	53.2716385245	SLX-11165.ORDRH07.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRH07.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	warn	49.3743673421	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3449139.0	pass	fail	warn	47.0	53.3668767655	SLX-11165.ORDRH07.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH07.HFN3MBBXX.s_7.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3359321.0	pass	pass	warn	47.0	53.0575670654	SLX-11165.ORDRH07.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRH07.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	warn	49.3657859052	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3358306.0	pass	fail	warn	47.0	53.0958814478	SLX-11165.ORDRH07.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH08.HFMVTBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	1702418.0	pass	pass	warn	50.0	64.258453003	SLX-11165.ORDRH08.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRH08.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.4056050544	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	1701500.0	pass	fail	warn	50.0	64.4873291539	SLX-11165.ORDRH08.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRH08.HFMVTBBXX.s_2.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	1721587.0	pass	pass	warn	50.0	64.1300732444	SLX-11165.ORDRH08.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRH08.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	warn	49.4230122396	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	1720806.0	pass	fail	warn	50.0	64.3824389817	SLX-11165.ORDRH08.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH08.HFN3MBBXX.s_5.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	1861421.0	pass	pass	warn	50.0	64.24297854	SLX-11165.ORDRH08.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRH08.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	warn	49.4124406018	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	1860537.0	pass	fail	warn	50.0	64.4637439492	SLX-11165.ORDRH08.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH08.HFN3MBBXX.s_6.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	1916527.0	pass	pass	warn	50.0	64.1842418514	SLX-11165.ORDRH08.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRH08.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	warn	49.4215861048	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	1915649.0	pass	fail	warn	50.0	64.3984420482	SLX-11165.ORDRH08.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRH08.HFN3MBBXX.s_7.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	1857761.0	pass	pass	warn	50.0	64.2814161645	SLX-11165.ORDRH08.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRH08.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	warn	49.4161655719	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	1856934.0	pass	fail	warn	50.0	64.5169406955	SLX-11165.ORDRH08.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH09.HFMVTBBXX.s_1.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	2962766.0	pass	pass	warn	46.0	22.7777893726	SLX-11165.ORDRH09.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRH09.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	fail	49.3926881138	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	2961452.0	pass	fail	warn	47.0	22.7786464814	SLX-11165.ORDRH09.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRH09.HFMVTBBXX.s_2.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	3006190.0	pass	pass	warn	47.0	21.9976170546	SLX-11165.ORDRH09.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRH09.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	fail	49.4139367679	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	3005087.0	pass	fail	warn	47.0	22.056679913	SLX-11165.ORDRH09.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRH09.HFN3MBBXX.s_5.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	3234623.0	pass	pass	warn	46.0	21.93978682	SLX-11165.ORDRH09.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
