Sample	Human counts	Human percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage
SLX-11165.ORDRE10.HFMVTBBXX.s_1.r_1_screen	25132	25.5	93726	95.08	39723	40.3	2	0.0	57	0.06	0	0.0
SLX-11165.ORDRE10.HFMVTBBXX.s_2.r_1_screen	25211	25.2	95216	95.18	40148	40.12	1	0.0	61	0.06	0	0.0
SLX-11165.ORDRE10.HFN3MBBXX.s_5.r_1_screen	24974	25.2	94162	94.99	39475	39.82	3	0.0	84	0.08	0	0.0
SLX-11165.ORDRE10.HFN3MBBXX.s_6.r_1_screen	24974	25.08	94920	95.3	39662	39.83	5	0.01	50	0.05	0	0.0
SLX-11165.ORDRE10.HFN3MBBXX.s_7.r_1_screen	24768	25.01	94343	95.24	39541	39.92	4	0.0	60	0.06	0	0.0
SLX-11165.ORDRE11.HFMVTBBXX.s_1.r_1_screen	15418	15.65	94564	96.02	29755	30.21	7	0.01	54	0.05	0	0.0
SLX-11165.ORDRE11.HFMVTBBXX.s_2.r_1_screen	15515	15.48	96184	96.01	29907	29.86	20	0.02	42	0.04	0	0.0
SLX-11165.ORDRE11.HFN3MBBXX.s_5.r_1_screen	15459	15.6	95202	96.06	29689	29.95	12	0.01	58	0.06	0	0.0
SLX-11165.ORDRE11.HFN3MBBXX.s_6.r_1_screen	15130	15.29	95133	96.12	29215	29.51	12	0.01	58	0.06	0	0.0
SLX-11165.ORDRE11.HFN3MBBXX.s_7.r_1_screen	15046	15.17	95232	96.08	29495	29.75	6	0.01	62	0.06	0	0.0
SLX-11165.ORDRE12.HFMVTBBXX.s_1.r_1_screen	14570	14.8	94923	96.43	28820	29.27	1	0.0	47	0.05	0	0.0
SLX-11165.ORDRE12.HFMVTBBXX.s_2.r_1_screen	14602	14.6	96632	96.58	28927	28.91	4	0.0	63	0.06	0	0.0
SLX-11165.ORDRE12.HFN3MBBXX.s_5.r_1_screen	14477	14.69	95045	96.47	28864	29.3	3	0.0	68	0.07	0	0.0
SLX-11165.ORDRE12.HFN3MBBXX.s_6.r_1_screen	14275	14.43	95411	96.5	28486	28.82	3	0.0	55	0.06	0	0.0
SLX-11165.ORDRE12.HFN3MBBXX.s_7.r_1_screen	14376	14.58	95361	96.69	28834	29.23	2	0.0	67	0.07	0	0.0
SLX-11165.ORDRF04.HFMVTBBXX.s_1.r_1_screen	26364	25.88	95856	94.09	41899	41.13	3	0.0	44	0.04	0	0.0
SLX-11165.ORDRF04.HFMVTBBXX.s_2.r_1_screen	25517	25.72	93127	93.89	40759	41.09	5	0.0	55	0.06	0	0.0
SLX-11165.ORDRF04.HFN3MBBXX.s_5.r_1_screen	25673	25.58	94251	93.93	41071	40.93	7	0.01	69	0.07	0	0.0
SLX-11165.ORDRF04.HFN3MBBXX.s_6.r_1_screen	25313	25.31	94093	94.08	40446	40.44	4	0.0	55	0.05	0	0.0
SLX-11165.ORDRF04.HFN3MBBXX.s_7.r_1_screen	25514	25.46	94408	94.22	40838	40.75	2	0.0	64	0.06	0	0.0
SLX-11165.ORDRF05.HFMVTBBXX.s_1.r_1_screen	29255	29.13	94266	93.86	44198	44.0	2	0.0	71	0.07	0	0.0
SLX-11165.ORDRF05.HFMVTBBXX.s_2.r_1_screen	28458	29.16	91604	93.89	43157	44.23	1	0.0	60	0.06	0	0.0
SLX-11165.ORDRF05.HFN3MBBXX.s_5.r_1_screen	28673	28.95	92982	93.89	43349	43.77	4	0.0	68	0.07	0	0.0
SLX-11165.ORDRF05.HFN3MBBXX.s_6.r_1_screen	28037	28.64	91995	93.96	42858	43.77	3	0.0	67	0.07	0	0.0
SLX-11165.ORDRF05.HFN3MBBXX.s_7.r_1_screen	28714	28.91	93485	94.12	43394	43.69	3	0.0	65	0.07	0	0.0
SLX-11165.ORDRF06.HFMVTBBXX.s_1.r_1_screen	30874	31.6	91364	93.47	44879	45.92	10	0.01	55	0.06	0	0.0
SLX-11165.ORDRF06.HFMVTBBXX.s_2.r_1_screen	31372	31.5	93423	93.78	45702	45.87	5	0.01	49	0.05	0	0.0
SLX-11165.ORDRF06.HFN3MBBXX.s_5.r_1_screen	31054	31.44	92533	93.7	45372	45.94	7	0.01	78	0.08	0	0.0
SLX-11165.ORDRF06.HFN3MBBXX.s_6.r_1_screen	31930	31.33	95447	93.63	46491	45.61	8	0.01	61	0.06	0	0.0
SLX-11165.ORDRF06.HFN3MBBXX.s_7.r_1_screen	31079	31.42	92843	93.87	45469	45.96	11	0.01	71	0.07	0	0.0
SLX-11165.ORDRF07.HFMVTBBXX.s_1.r_1_screen	14425	14.63	95223	96.55	29500	29.91	6	0.01	42	0.04	0	0.0
SLX-11165.ORDRF07.HFMVTBBXX.s_2.r_1_screen	14569	14.56	96522	96.51	30035	30.03	9	0.01	53	0.05	0	0.0
SLX-11165.ORDRF07.HFN3MBBXX.s_5.r_1_screen	14840	14.6	98126	96.51	30433	29.94	0	0.0	46	0.05	0	0.0
SLX-11165.ORDRF07.HFN3MBBXX.s_6.r_1_screen	14809	14.59	97914	96.5	30289	29.85	6	0.0	57	0.06	0	0.0
SLX-11165.ORDRF07.HFN3MBBXX.s_7.r_1_screen	14296	14.54	95067	96.67	29310	29.81	2	0.0	58	0.06	0	0.0
SLX-11165.ORDRF08.HFMVTBBXX.s_1.r_1_screen	26571	26.73	93291	93.88	41700	41.96	10	0.01	54	0.05	0	0.0
SLX-11165.ORDRF08.HFMVTBBXX.s_2.r_1_screen	26332	26.22	94348	93.96	41746	41.57	5	0.0	60	0.06	0	0.0
SLX-11165.ORDRF08.HFN3MBBXX.s_5.r_1_screen	25969	26.28	92897	94.03	40924	41.42	8	0.01	82	0.08	0	0.0
SLX-11165.ORDRF08.HFN3MBBXX.s_6.r_1_screen	26155	25.81	95377	94.08	41658	41.08	4	0.0	76	0.07	0	0.0
SLX-11165.ORDRF08.HFN3MBBXX.s_7.r_1_screen	25828	26.19	92914	94.2	40679	41.24	2	0.0	74	0.08	0	0.0
SLX-11165.ORDRF09.HFMVTBBXX.s_1.r_1_screen	22022	22.02	95377	95.34	37900	37.88	10	0.01	40	0.04	0	0.0
SLX-11165.ORDRF09.HFMVTBBXX.s_2.r_1_screen	21395	21.69	94008	95.33	36918	37.43	4	0.0	40	0.04	0	0.0
SLX-11165.ORDRF09.HFN3MBBXX.s_5.r_1_screen	21279	21.37	94910	95.35	37031	37.21	5	0.0	67	0.07	0	0.0
SLX-11165.ORDRF09.HFN3MBBXX.s_6.r_1_screen	21262	21.27	95354	95.41	37020	37.04	5	0.0	61	0.06	0	0.0
SLX-11165.ORDRF09.HFN3MBBXX.s_7.r_1_screen	21312	21.43	95046	95.61	37123	37.35	7	0.01	66	0.07	0	0.0
SLX-11165.ORDRF11.HFMVTBBXX.s_1.r_1_screen	24970	25.09	94732	95.19	41819	42.02	5	0.01	60	0.06	0	0.0
SLX-11165.ORDRF11.HFMVTBBXX.s_2.r_1_screen	25283	25.19	95805	95.47	42276	42.13	2	0.0	67	0.07	0	0.0
SLX-11165.ORDRF11.HFN3MBBXX.s_5.r_1_screen	24971	24.74	96273	95.37	42015	41.62	2	0.0	82	0.08	0	0.0
SLX-11165.ORDRF11.HFN3MBBXX.s_6.r_1_screen	25044	24.81	96355	95.45	41982	41.58	8	0.01	79	0.08	0	0.0
SLX-11165.ORDRF11.HFN3MBBXX.s_7.r_1_screen	25179	25.02	96213	95.62	42161	41.9	3	0.0	87	0.09	0	0.0
SLX-11165.ORDRF12.HFMVTBBXX.s_1.r_1_screen	21772	21.37	97132	95.35	37804	37.11	3	0.0	64	0.06	0	0.0
SLX-11165.ORDRF12.HFMVTBBXX.s_2.r_1_screen	21284	21.3	95414	95.53	36706	36.76	0	0.0	61	0.06	0	0.0
SLX-11165.ORDRF12.HFN3MBBXX.s_5.r_1_screen	21297	20.97	96868	95.37	36925	36.35	3	0.0	73	0.07	0	0.0
SLX-11165.ORDRF12.HFN3MBBXX.s_6.r_1_screen	21021	20.81	96473	95.54	36585	36.23	2	0.0	57	0.06	0	0.0
SLX-11165.ORDRF12.HFN3MBBXX.s_7.r_1_screen	21236	20.97	96900	95.7	36829	36.38	2	0.0	63	0.06	0	0.0
SLX-11165.ORDRG04.HFMVTBBXX.s_1.r_1_screen	18842	18.98	94086	94.73	35251	35.49	3	0.0	64	0.06	0	0.0
SLX-11165.ORDRG04.HFMVTBBXX.s_2.r_1_screen	18774	18.59	95824	94.91	35726	35.39	3	0.0	51	0.05	0	0.0
SLX-11165.ORDRG04.HFN3MBBXX.s_5.r_1_screen	18716	18.73	94644	94.69	35266	35.28	3	0.0	80	0.08	0	0.0
SLX-11165.ORDRG04.HFN3MBBXX.s_6.r_1_screen	18602	18.5	95361	94.84	35503	35.32	4	0.0	74	0.07	0	0.0
SLX-11165.ORDRG04.HFN3MBBXX.s_7.r_1_screen	18619	18.61	95002	94.97	35419	35.41	3	0.0	71	0.07	0	0.0
SLX-11165.ORDRG05.HFMVTBBXX.s_1.r_1_screen	21290	21.43	94968	95.58	37752	38.0	4	0.0	57	0.06	0	0.0
SLX-11165.ORDRG05.HFMVTBBXX.s_2.r_1_screen	21793	21.47	97041	95.64	38525	37.97	0	0.0	65	0.06	0	0.0
SLX-11165.ORDRG05.HFN3MBBXX.s_5.r_1_screen	21596	21.26	97150	95.6	38285	37.68	5	0.0	68	0.07	0	0.0
SLX-11165.ORDRG05.HFN3MBBXX.s_6.r_1_screen	20902	21.21	94429	95.77	37163	37.69	4	0.0	55	0.06	0	0.0
SLX-11165.ORDRG05.HFN3MBBXX.s_7.r_1_screen	21446	21.05	97443	95.68	38515	37.82	3	0.0	74	0.07	0	0.0
SLX-11165.ORDRG06.HFMVTBBXX.s_1.r_1_screen	25305	25.35	94101	94.27	40400	40.47	3	0.0	72	0.07	0	0.0
SLX-11165.ORDRG06.HFMVTBBXX.s_2.r_1_screen	25933	25.58	95708	94.4	41437	40.88	6	0.01	68	0.07	0	0.0
SLX-11165.ORDRG06.HFN3MBBXX.s_5.r_1_screen	25264	25.43	93849	94.47	40582	40.85	23	0.02	79	0.08	0	0.0
SLX-11165.ORDRG06.HFN3MBBXX.s_6.r_1_screen	25372	25.13	95323	94.41	40520	40.13	12	0.01	66	0.07	0	0.0
SLX-11165.ORDRG06.HFN3MBBXX.s_7.r_1_screen	24886	25.19	93353	94.54	40154	40.65	8	0.01	87	0.09	0	0.0
SLX-11165.ORDRG07.HFMVTBBXX.s_1.r_1_screen	16603	16.61	93790	93.84	32211	32.23	19	0.02	63	0.06	0	0.0
SLX-11165.ORDRG07.HFMVTBBXX.s_2.r_1_screen	16484	16.28	95153	94.0	32543	32.15	13	0.01	51	0.05	0	0.0
SLX-11165.ORDRG07.HFN3MBBXX.s_5.r_1_screen	16403	16.55	93029	93.86	31809	32.1	19	0.02	61	0.06	0	0.0
SLX-11165.ORDRG07.HFN3MBBXX.s_6.r_1_screen	16093	16.18	93408	93.81	31553	31.7	19	0.02	65	0.07	0	0.0
SLX-11165.ORDRG07.HFN3MBBXX.s_7.r_1_screen	16254	16.41	93158	94.02	31980	32.28	18	0.02	72	0.07	0	0.0
SLX-11165.ORDRG08.HFMVTBBXX.s_1.r_1_screen	16890	16.53	97939	95.79	30683	30.01	10	0.01	56	0.05	0	0.0
SLX-11165.ORDRG08.HFMVTBBXX.s_2.r_1_screen	16266	16.39	95226	95.94	29941	30.16	12	0.01	56	0.06	0	0.0
SLX-11165.ORDRG08.HFN3MBBXX.s_5.r_1_screen	15948	16.3	93834	95.88	29356	30.0	10	0.01	52	0.05	0	0.0
SLX-11165.ORDRG08.HFN3MBBXX.s_6.r_1_screen	16477	16.31	96873	95.93	30341	30.04	10	0.01	39	0.04	0	0.0
SLX-11165.ORDRG08.HFN3MBBXX.s_7.r_1_screen	16823	16.47	98153	96.05	30976	30.31	11	0.01	64	0.06	0	0.0
SLX-11165.ORDRG09.HFMVTBBXX.s_1.r_1_screen	31675	16.73	181577	95.93	60879	32.16	52	0.03	131	0.07	0	0.0
SLX-11165.ORDRG09.HFMVTBBXX.s_2.r_1_screen	32049	16.74	183812	96.02	61711	32.23	67	0.03	148	0.08	0	0.0
SLX-11165.ORDRG09.HFN3MBBXX.s_5.r_1_screen	17457	16.72	100024	95.83	33554	32.15	33	0.03	89	0.09	0	0.0
SLX-11165.ORDRG09.HFN3MBBXX.s_6.r_1_screen	17611	16.36	103372	95.99	33834	31.41	34	0.03	69	0.06	0	0.0
SLX-11165.ORDRG09.HFN3MBBXX.s_7.r_1_screen	17453	16.69	100489	96.14	33668	32.21	34	0.03	82	0.08	0	0.0
SLX-11165.ORDRG10.HFMVTBBXX.s_1.r_1_screen	18772	18.57	96336	95.25	37194	36.79	7	0.01	53	0.05	0	0.0
SLX-11165.ORDRG10.HFMVTBBXX.s_2.r_1_screen	18351	18.5	94751	95.48	36575	36.86	17	0.02	61	0.06	0	0.0
SLX-11165.ORDRG10.HFN3MBBXX.s_5.r_1_screen	18593	18.37	96561	95.36	36973	36.51	7	0.01	70	0.07	0	0.0
SLX-11165.ORDRG10.HFN3MBBXX.s_6.r_1_screen	18457	18.22	96577	95.36	36872	36.4	6	0.01	60	0.06	0	0.0
SLX-11165.ORDRG10.HFN3MBBXX.s_7.r_1_screen	18825	18.63	96450	95.47	37119	36.74	10	0.01	75	0.07	0	0.0
SLX-11165.ORDRG11.HFMVTBBXX.s_1.r_1_screen	20292	20.44	95062	95.73	36669	36.94	4	0.0	65	0.07	0	0.0
SLX-11165.ORDRG11.HFMVTBBXX.s_2.r_1_screen	20505	20.29	96786	95.77	37207	36.82	3	0.0	61	0.06	0	0.0
SLX-11165.ORDRG11.HFN3MBBXX.s_5.r_1_screen	20177	20.07	96110	95.57	36758	36.57	2	0.0	88	0.09	0	0.0
SLX-11165.ORDRG11.HFN3MBBXX.s_6.r_1_screen	20257	20.31	95402	95.66	36517	36.62	1	0.0	55	0.06	0	0.0
SLX-11165.ORDRG11.HFN3MBBXX.s_7.r_1_screen	20400	20.28	96445	95.91	37224	37.02	2	0.0	80	0.08	0	0.0
SLX-11165.ORDRG12.HFMVTBBXX.s_1.r_1_screen	19879	19.79	95696	95.22	37243	37.06	8	0.01	83	0.08	0	0.0
SLX-11165.ORDRG12.HFMVTBBXX.s_2.r_1_screen	19457	19.72	93982	95.26	36176	36.66	11	0.01	65	0.07	0	0.0
SLX-11165.ORDRG12.HFN3MBBXX.s_5.r_1_screen	19457	19.61	94740	95.44	36393	36.66	8	0.01	92	0.09	0	0.0
SLX-11165.ORDRG12.HFN3MBBXX.s_6.r_1_screen	19225	19.27	95154	95.34	36330	36.39	11	0.01	77	0.08	0	0.0
SLX-11165.ORDRG12.HFN3MBBXX.s_7.r_1_screen	19220	19.39	94657	95.52	36414	36.74	5	0.01	100	0.1	0	0.0
SLX-11165.ORDRH04.HFMVTBBXX.s_1.r_1_screen	31909	32.31	92048	93.2	46244	46.83	4	0.0	61	0.06	0	0.0
SLX-11165.ORDRH04.HFMVTBBXX.s_2.r_1_screen	32483	32.28	93686	93.11	47150	46.87	5	0.0	54	0.05	0	0.0
SLX-11165.ORDRH04.HFN3MBBXX.s_5.r_1_screen	32142	32.02	93609	93.27	46782	46.61	4	0.0	57	0.06	0	0.0
SLX-11165.ORDRH04.HFN3MBBXX.s_6.r_1_screen	31642	31.67	93108	93.17	46384	46.41	7	0.01	60	0.06	0	0.0
SLX-11165.ORDRH04.HFN3MBBXX.s_7.r_1_screen	32048	31.92	93763	93.38	46683	46.49	6	0.01	64	0.06	0	0.0
SLX-11165.ORDRH05.HFMVTBBXX.s_1.r_1_screen	19904	19.54	97982	96.2	36749	36.08	4	0.0	69	0.07	0	0.0
SLX-11165.ORDRH05.HFMVTBBXX.s_2.r_1_screen	18864	19.27	94234	96.28	35424	36.18	4	0.0	41	0.04	0	0.0
SLX-11165.ORDRH05.HFN3MBBXX.s_5.r_1_screen	19742	19.56	96993	96.12	36561	36.24	0	0.0	58	0.06	0	0.0
SLX-11165.ORDRH05.HFN3MBBXX.s_6.r_1_screen	19195	19.47	94813	96.16	35245	35.75	5	0.01	42	0.04	0	0.0
SLX-11165.ORDRH05.HFN3MBBXX.s_7.r_1_screen	19526	19.5	96321	96.2	36195	36.16	2	0.0	58	0.06	0	0.0
SLX-11165.ORDRH06.HFMVTBBXX.s_1.r_1_screen	18876	18.44	98576	96.3	33830	33.05	1	0.0	43	0.04	0	0.0
SLX-11165.ORDRH06.HFMVTBBXX.s_2.r_1_screen	18028	18.02	96319	96.3	32896	32.88	7	0.0	42	0.04	0	0.0
SLX-11165.ORDRH06.HFN3MBBXX.s_5.r_1_screen	18264	18.04	97505	96.28	32925	32.5	5	0.0	66	0.07	0	0.0
SLX-11165.ORDRH06.HFN3MBBXX.s_6.r_1_screen	18131	18.08	96433	96.22	32826	32.76	5	0.0	46	0.05	0	0.0
SLX-11165.ORDRH06.HFN3MBBXX.s_7.r_1_screen	18504	18.18	98154	96.41	33210	32.62	8	0.01	62	0.06	0	0.0
SLX-11165.ORDRH07.HFMVTBBXX.s_1.r_1_screen	25862	26.25	93069	94.45	41015	41.63	1	0.0	58	0.06	0	0.0
SLX-11165.ORDRH07.HFMVTBBXX.s_2.r_1_screen	26237	26.21	94741	94.63	41486	41.43	1	0.0	69	0.07	0	0.0
SLX-11165.ORDRH07.HFN3MBBXX.s_5.r_1_screen	25491	25.69	93925	94.68	40760	41.08	6	0.01	95	0.1	0	0.0
SLX-11165.ORDRH07.HFN3MBBXX.s_6.r_1_screen	25295	25.66	93224	94.57	40114	40.69	2	0.0	64	0.06	0	0.0
SLX-11165.ORDRH07.HFN3MBBXX.s_7.r_1_screen	25863	26.17	93581	94.7	40959	41.45	4	0.0	80	0.08	0	0.0
SLX-11165.ORDRH08.HFMVTBBXX.s_1.r_1_screen	23351	23.31	93791	93.65	39718	39.66	24	0.02	67	0.07	0	0.0
SLX-11165.ORDRH08.HFMVTBBXX.s_2.r_1_screen	23492	23.2	94993	93.8	40116	39.62	28	0.03	57	0.06	0	0.0
SLX-11165.ORDRH08.HFN3MBBXX.s_5.r_1_screen	22579	23.05	91989	93.89	38707	39.52	27	0.03	83	0.08	0	0.0
SLX-11165.ORDRH08.HFN3MBBXX.s_6.r_1_screen	23055	22.86	94622	93.81	39524	39.19	26	0.03	65	0.06	0	0.0
SLX-11165.ORDRH08.HFN3MBBXX.s_7.r_1_screen	22492	23.01	91891	93.99	38553	39.43	30	0.03	84	0.09	0	0.0
SLX-11165.ORDRH09.HFMVTBBXX.s_1.r_1_screen	18924	19.16	44319	44.88	24359	24.66	13	0.01	85	0.09	0	0.0
SLX-11165.ORDRH09.HFMVTBBXX.s_2.r_1_screen	19167	19.12	44691	44.6	24638	24.58	8	0.01	75	0.07	0	0.0
SLX-11165.ORDRH09.HFN3MBBXX.s_5.r_1_screen	19387	19.18	45527	45.04	24983	24.71	7	0.0	102	0.1	0	0.0
SLX-11165.ORDRH09.HFN3MBBXX.s_6.r_1_screen	18796	18.62	44906	44.49	24387	24.16	9	0.01	77	0.08	0	0.0
SLX-11165.ORDRH09.HFN3MBBXX.s_7.r_1_screen	19228	19.0	45411	44.85	24841	24.54	11	0.01	85	0.08	0	0.0
SLX-11165.ORDRH10.HFMVTBBXX.s_1.r_1_screen	18760	18.94	94854	95.76	36966	37.31	3	0.0	55	0.06	0	0.0
SLX-11165.ORDRH10.HFMVTBBXX.s_2.r_1_screen	18743	18.65	96361	95.84	37052	36.85	3	0.0	62	0.06	0	0.0
SLX-11165.ORDRH10.HFN3MBBXX.s_5.r_1_screen	18782	18.71	96120	95.74	36900	36.75	2	0.0	91	0.09	0	0.0
SLX-11165.ORDRH10.HFN3MBBXX.s_6.r_1_screen	18303	18.41	95277	95.8	36125	36.33	3	0.0	57	0.06	0	0.0
SLX-11165.ORDRH10.HFN3MBBXX.s_7.r_1_screen	18659	18.58	96260	95.88	36973	36.82	3	0.0	65	0.06	0	0.0
SLX-11165.ORDRH11.HFMVTBBXX.s_1.r_1_screen	20734	20.76	95724	95.79	36013	36.04	4	0.0	56	0.06	0	0.0
SLX-11165.ORDRH11.HFMVTBBXX.s_2.r_1_screen	20350	20.5	95123	95.87	35401	35.67	5	0.0	59	0.06	0	0.0
SLX-11165.ORDRH11.HFN3MBBXX.s_5.r_1_screen	20552	20.65	95296	95.76	35735	35.91	8	0.01	64	0.06	0	0.0
SLX-11165.ORDRH11.HFN3MBBXX.s_6.r_1_screen	20389	20.34	96019	95.81	35641	35.56	8	0.01	58	0.06	0	0.0
SLX-11165.ORDRH11.HFN3MBBXX.s_7.r_1_screen	20423	20.59	95236	96.01	35448	35.74	2	0.0	62	0.06	0	0.0
SLX-11165.ORDRH12.HFMVTBBXX.s_1.r_1_screen	18499	18.38	96560	95.94	35970	35.73	2	0.0	53	0.05	0	0.0
SLX-11165.ORDRH12.HFMVTBBXX.s_2.r_1_screen	18317	18.38	95583	95.91	35298	35.43	2	0.0	58	0.06	0	0.0
SLX-11165.ORDRH12.HFN3MBBXX.s_5.r_1_screen	18072	18.29	94872	95.98	35155	35.57	4	0.0	51	0.05	0	0.0
SLX-11165.ORDRH12.HFN3MBBXX.s_6.r_1_screen	18242	18.29	95701	95.96	35082	35.18	2	0.0	45	0.05	0	0.0
SLX-11165.ORDRH12.HFN3MBBXX.s_7.r_1_screen	17874	18.1	94951	96.13	34765	35.2	2	0.0	55	0.06	0	0.0
