Sample	Human counts	Human percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage
SLX-11165.ORDRB07.HFN3MBBXX.s_5.r_1_screen	18875	18.51	97155	95.27	33785	33.12	4	0.0	74	0.07	0	0.0
SLX-11165.ORDRB07.HFN3MBBXX.s_6.r_1_screen	18513	18.41	95927	95.39	33086	32.9	4	0.0	73	0.07	0	0.0
SLX-11165.ORDRB07.HFN3MBBXX.s_7.r_1_screen	18941	18.6	97150	95.42	33802	33.19	8	0.01	62	0.06	0	0.0
SLX-11165.ORDRB08.HFMVTBBXX.s_1.r_1_screen	18676	19.01	94073	95.77	34273	34.9	7	0.01	64	0.07	0	0.0
SLX-11165.ORDRB08.HFMVTBBXX.s_2.r_1_screen	18730	18.71	96018	95.92	34999	34.96	6	0.01	57	0.06	0	0.0
SLX-11165.ORDRB08.HFN3MBBXX.s_5.r_1_screen	18618	18.71	95353	95.86	34633	34.82	3	0.0	70	0.07	0	0.0
SLX-11165.ORDRB08.HFN3MBBXX.s_6.r_1_screen	19076	18.71	97786	95.92	35441	34.76	2	0.0	51	0.05	0	0.0
SLX-11165.ORDRB08.HFN3MBBXX.s_7.r_1_screen	18718	18.87	95231	95.95	34905	35.18	7	0.01	72	0.07	0	0.0
SLX-11165.ORDRB09.HFMVTBBXX.s_1.r_1_screen	25970	26.07	93843	94.23	40018	40.19	13	0.01	62	0.06	0	0.0
SLX-11165.ORDRB09.HFMVTBBXX.s_2.r_1_screen	26052	26.04	94296	94.25	40465	40.43	14	0.01	82	0.08	0	0.0
SLX-11165.ORDRB09.HFN3MBBXX.s_5.r_1_screen	25781	25.87	93989	94.3	40086	40.22	12	0.01	71	0.07	0	0.0
SLX-11165.ORDRB09.HFN3MBBXX.s_6.r_1_screen	25460	25.5	94194	94.35	39848	39.91	10	0.01	54	0.05	0	0.0
SLX-11165.ORDRB09.HFN3MBBXX.s_7.r_1_screen	25892	25.98	94140	94.48	40294	40.44	20	0.02	79	0.08	0	0.0
SLX-11165.ORDRB10.HFMVTBBXX.s_1.r_1_screen	24173	24.01	95528	94.89	39905	39.64	5	0.0	64	0.06	0	0.0
SLX-11165.ORDRB10.HFMVTBBXX.s_2.r_1_screen	24026	23.92	95268	94.9	39923	39.77	1	0.0	59	0.06	0	0.0
SLX-11165.ORDRB10.HFN3MBBXX.s_5.r_1_screen	23601	23.79	94057	94.82	39136	39.46	5	0.01	95	0.1	0	0.0
SLX-11165.ORDRB10.HFN3MBBXX.s_6.r_1_screen	23516	23.43	95200	94.86	38987	38.85	3	0.0	69	0.07	0	0.0
